Geography ID, Name,County,Tribal Areas,Avg. Annual Energy Cost
42101036302,Census Tract 363.02,Philadelphia County,,2110
42101036303,Census Tract 363.03,Philadelphia County,,2270
42101036400,Census Tract 364,Philadelphia County,,2076
42101007101,Census Tract 71.01,Philadelphia County,,2950
42101032900,Census Tract 329,Philadelphia County,,2179
42101033000,Census Tract 330,Philadelphia County,,2339
42101033300,Census Tract 333,Philadelphia County,,2064
42101033400,Census Tract 334,Philadelphia County,,2129
42101033800,Census Tract 338,Philadelphia County,,2161
42101033900,Census Tract 339,Philadelphia County,,2293
42101034000,Census Tract 340,Philadelphia County,,2509
42101034100,Census Tract 341,Philadelphia County,,2075
42101034200,Census Tract 342,Philadelphia County,,1967
42101034400,Census Tract 344,Philadelphia County,,2339
42101034600,Census Tract 346,Philadelphia County,,1370
42101034701,Census Tract 347.01,Philadelphia County,,2012
42101037500,Census Tract 375,Philadelphia County,,2310
42101008602,Census Tract 86.02,Philadelphia County,,1884
42101009801,Census Tract 98.01,Philadelphia County,,2360
42101009802,Census Tract 98.02,Philadelphia County,,2357
42101010000,Census Tract 100,Philadelphia County,,2674
42101010100,Census Tract 101,Philadelphia County,,2865
42101010200,Census Tract 102,Philadelphia County,,2490
42101010300,Census Tract 103,Philadelphia County,,2683
42101010400,Census Tract 104,Philadelphia County,,2488
42101010500,Census Tract 105,Philadelphia County,,1908
42101011200,Census Tract 112,Philadelphia County,,2871
42101001201,Census Tract 12.01,Philadelphia County,,1886
42101001202,Census Tract 12.02,Philadelphia County,,1462
42101012203,Census Tract 122.03,Philadelphia County,,1848
42101012204,Census Tract 122.04,Philadelphia County,,1835
42101013602,Census Tract 136.02,Philadelphia County,,1934
42101001300,Census Tract 13,Philadelphia County,,1926
42101015300,Census Tract 153,Philadelphia County,,2420
42101001500,Census Tract 15,Philadelphia County,,1807
42101001600,Census Tract 16,Philadelphia County,,1941
42101001700,Census Tract 17,Philadelphia County,,2042
42101001800,Census Tract 18,Philadelphia County,,1994
42101001900,Census Tract 19,Philadelphia County,,1898
42101002100,Census Tract 21,Philadelphia County,,2070
42101002200,Census Tract 22,Philadelphia County,,1726
42101002300,Census Tract 23,Philadelphia County,,1884
42101002400,Census Tract 24,Philadelphia County,,1958
42101025300,Census Tract 253,Philadelphia County,,2782
42101002500,Census Tract 25,Philadelphia County,,2034
42101026000,Census Tract 260,Philadelphia County,,2144
42101002702,Census Tract 27.02,Philadelphia County,,2028
42101027500,Census Tract 275,Philadelphia County,,2532
42101028300,Census Tract 283,Philadelphia County,,2417
42101002900,Census Tract 29,Philadelphia County,,2141
42101031900,Census Tract 319,Philadelphia County,,2288
42101003100,Census Tract 31,Philadelphia County,,2082
42101032300,Census Tract 323,Philadelphia County,,2298
42101003200,Census Tract 32,Philadelphia County,,2232
42101003300,Census Tract 33,Philadelphia County,,2021
42101034502,Census Tract 345.02,Philadelphia County,,1684
42101035301,Census Tract 353.01,Philadelphia County,,2242
42101036000,Census Tract 360,Philadelphia County,,2072
42101036100,Census Tract 361,Philadelphia County,,2484
42101003600,Census Tract 36,Philadelphia County,,1850
42101003701,Census Tract 37.01,Philadelphia County,,2253
42101003702,Census Tract 37.02,Philadelphia County,,2054
42101003800,Census Tract 38,Philadelphia County,,2202
42101003901,Census Tract 39.01,Philadelphia County,,1935
42101003902,Census Tract 39.02,Philadelphia County,,2110
42101004001,Census Tract 40.01,Philadelphia County,,1934
42101004002,Census Tract 40.02,Philadelphia County,,2014
42101004101,Census Tract 41.01,Philadelphia County,,2128
42101004102,Census Tract 41.02,Philadelphia County,,2221
42101006200,Census Tract 62,Philadelphia County,,2557
42101006500,Census Tract 65,Philadelphia County,,2458
42101006600,Census Tract 66,Philadelphia County,,2354
42101006700,Census Tract 67,Philadelphia County,,2555
42101006900,Census Tract 69,Philadelphia County,,2112
42101000600,Census Tract 6,Philadelphia County,,1067
42101007200,Census Tract 72,Philadelphia County,,2720
42101007300,Census Tract 73,Philadelphia County,,2631
42101007400,Census Tract 74,Philadelphia County,,2528
42101007800,Census Tract 78,Philadelphia County,,1833
42101007900,Census Tract 79,Philadelphia County,,2097
42101000804,Census Tract 8.04,Philadelphia County,,1146
42101008000,Census Tract 80,Philadelphia County,,2785
42101008200,Census Tract 82,Philadelphia County,,2655
42101008301,Census Tract 83.01,Philadelphia County,,2393
42101008302,Census Tract 83.02,Philadelphia County,,2522
42101008400,Census Tract 84,Philadelphia County,,2733
42101008500,Census Tract 85,Philadelphia County,,2487
42101000902,Census Tract 9.02,Philadelphia County,,1326
42101009000,Census Tract 90,Philadelphia County,,1909
42101009200,Census Tract 92,Philadelphia County,,2036
42101009300,Census Tract 93,Philadelphia County,,2739
42101009400,Census Tract 94,Philadelphia County,,2218
42101009500,Census Tract 95,Philadelphia County,,2609
42101009600,Census Tract 96,Philadelphia County,,2751
42101001001,Census Tract 10.01,Philadelphia County,,1470
42101013402,Census Tract 134.02,Philadelphia County,,1459
42101013601,Census Tract 136.01,Philadelphia County,,1904
42101017602,Census Tract 176.02,Philadelphia County,,2196
42101017701,Census Tract 177.01,Philadelphia County,,2457
42101017800,Census Tract 178,Philadelphia County,,2335
42101017900,Census Tract 179,Philadelphia County,,2408
42101000100,Census Tract 1,Philadelphia County,,1275
42101024400,Census Tract 244,Philadelphia County,,2908
42101025500,Census Tract 255,Philadelphia County,,2615
42101025600,Census Tract 256,Philadelphia County,,2519
42101025700,Census Tract 257,Philadelphia County,,1698
42101025800,Census Tract 258,Philadelphia County,,2176
42101025900,Census Tract 259,Philadelphia County,,2135
42101026301,Census Tract 263.01,Philadelphia County,,2396
42101029200,Census Tract 292,Philadelphia County,,2470
42101000200,Census Tract 2,Philadelphia County,,1535
42101033200,Census Tract 332,Philadelphia County,,2330
42101035601,Census Tract 356.01,Philadelphia County,,2099
42101036900,Census Tract 369,Philadelphia County,,896
42101037200,Census Tract 372,Philadelphia County,,2135
42101037300,Census Tract 373,Philadelphia County,,2145
42101038400,Census Tract 384,Philadelphia County,,2531
42101038500,Census Tract 385,Philadelphia County,,2524
42101038600,Census Tract 386,Philadelphia County,,2911
42101000300,Census Tract 3,Philadelphia County,,1280
42101000402,Census Tract 4.02,Philadelphia County,,1051
42101015200,Census Tract 152,Philadelphia County,,2419
42101008801,Census Tract 88.01,Philadelphia County,,1213
42101018300,Census Tract 183,Philadelphia County,,2613
42101018400,Census Tract 184,Philadelphia County,,2604
42101019000,Census Tract 190,Philadelphia County,,2231
42101019100,Census Tract 191,Philadelphia County,,2302
42101019200,Census Tract 192,Philadelphia County,,2624
42101019700,Census Tract 197,Philadelphia County,,2155
42101019800,Census Tract 198,Philadelphia County,,2255
42101019900,Census Tract 199,Philadelphia County,,2366
42101020000,Census Tract 200,Philadelphia County,,2233
42101020200,Census Tract 202,Philadelphia County,,2291
42101020300,Census Tract 203,Philadelphia County,,2454
42101020400,Census Tract 204,Philadelphia County,,2404
42101020500,Census Tract 205,Philadelphia County,,1892
42101020600,Census Tract 206,Philadelphia County,,1991
42101020700,Census Tract 207,Philadelphia County,,2284
42101020800,Census Tract 208,Philadelphia County,,1396
42101037900,Census Tract 379,Philadelphia County,,2299
42101038000,Census Tract 380,Philadelphia County,,2667
42101038100,Census Tract 381,Philadelphia County,,2345
42101038200,Census Tract 382,Philadelphia County,,2458
42101038300,Census Tract 383,Philadelphia County,,2234
42101038700,Census Tract 387,Philadelphia County,,3191
42101038800,Census Tract 388,Philadelphia County,,2600
42101038900,Census Tract 389,Philadelphia County,,2345
42101039000,Census Tract 390,Philadelphia County,,2378
42101980200,Census Tract 9802,Philadelphia County,,2233
42101013300,Census Tract 133,Philadelphia County,,1489
42101014700,Census Tract 147,Philadelphia County,,2161
42101014800,Census Tract 148,Philadelphia County,,2101
42101014900,Census Tract 149,Philadelphia County,,2365
42101015600,Census Tract 156,Philadelphia County,,2272
42101015700,Census Tract 157,Philadelphia County,,2401
42101015800,Census Tract 158,Philadelphia County,,2097
42101016000,Census Tract 160,Philadelphia County,,2238
42101016100,Census Tract 161,Philadelphia County,,2243
42101016200,Census Tract 162,Philadelphia County,,2050
42101016300,Census Tract 163,Philadelphia County,,2104
42101016400,Census Tract 164,Philadelphia County,,2090
42101016500,Census Tract 165,Philadelphia County,,2126
42101016600,Census Tract 166,Philadelphia County,,1901
42101016702,Census Tract 167.02,Philadelphia County,,2518
42101016800,Census Tract 168,Philadelphia County,,2369
42101016901,Census Tract 169.01,Philadelphia County,,2574
42101017000,Census Tract 170,Philadelphia County,,1929
42101017100,Census Tract 171,Philadelphia County,,2509
42101017202,Census Tract 172.02,Philadelphia County,,2483
42101017300,Census Tract 173,Philadelphia County,,2324
42101017400,Census Tract 174,Philadelphia County,,2645
42101017500,Census Tract 175,Philadelphia County,,2162
42101017601,Census Tract 176.01,Philadelphia County,,2237
42101020101,Census Tract 201.01,Philadelphia County,,2346
42101020900,Census Tract 209,Philadelphia County,,2164
42101021000,Census Tract 210,Philadelphia County,,2352
42101021100,Census Tract 211,Philadelphia County,,2353
42101021200,Census Tract 212,Philadelphia County,,2450
42101021300,Census Tract 213,Philadelphia County,,2590
42101021400,Census Tract 214,Philadelphia County,,2355
42101021500,Census Tract 215,Philadelphia County,,2236
42101021600,Census Tract 216,Philadelphia County,,2035
42101021700,Census Tract 217,Philadelphia County,,2401
42101021900,Census Tract 219,Philadelphia County,,2685
42101022000,Census Tract 220,Philadelphia County,,2421
42101023100,Census Tract 231,Philadelphia County,,3458
42101023500,Census Tract 235,Philadelphia County,,2707
42101023600,Census Tract 236,Philadelphia County,,2610
42101023700,Census Tract 237,Philadelphia County,,2346
42101023900,Census Tract 239,Philadelphia County,,1357
42101024000,Census Tract 240,Philadelphia County,,2111
42101024100,Census Tract 241,Philadelphia County,,1442
42101024200,Census Tract 242,Philadelphia County,,2186
42101024300,Census Tract 243,Philadelphia County,,2466
42101024500,Census Tract 245,Philadelphia County,,2304
42101024600,Census Tract 246,Philadelphia County,,2308
42101024700,Census Tract 247,Philadelphia County,,2526
42101024900,Census Tract 249,Philadelphia County,,2760
42101025200,Census Tract 252,Philadelphia County,,2388
42101025400,Census Tract 254,Philadelphia County,,2543
42101026100,Census Tract 261,Philadelphia County,,2197
42101026200,Census Tract 262,Philadelphia County,,2322
42101026302,Census Tract 263.02,Philadelphia County,,2543
42101026400,Census Tract 264,Philadelphia County,,2526
42101026500,Census Tract 265,Philadelphia County,,2605
42101027401,Census Tract 274.01,Philadelphia County,,2560
42101028901,Census Tract 289.01,Philadelphia County,,2598
42101029100,Census Tract 291,Philadelphia County,,2107
42101030000,Census Tract 300,Philadelphia County,,2601
42101030501,Census Tract 305.01,Philadelphia County,,2404
42101033600,Census Tract 336,Philadelphia County,,2235
42101004202,Census Tract 42.02,Philadelphia County,,2190
42101007000,Census Tract 70,Philadelphia County,,2688
42101008802,Census Tract 88.02,Philadelphia County,,1519
42101009100,Census Tract 91,Philadelphia County,,1573
42101014400,Census Tract 144,Philadelphia County,,2044
42101016701,Census Tract 167.01,Philadelphia County,,2727
42101002701,Census Tract 27.01,Philadelphia County,,2277
42101027901,Census Tract 279.01,Philadelphia County,,2670
42101027902,Census Tract 279.02,Philadelphia County,,2368
42101002802,Census Tract 28.02,Philadelphia County,,2007
42101003001,Census Tract 30.01,Philadelphia County,,2280
42101031402,Census Tract 314.02,Philadelphia County,,2454
42101036600,Census Tract 366,Philadelphia County,,1483
42101034702,Census Tract 347.02,Philadelphia County,,2280
42101034801,Census Tract 348.01,Philadelphia County,,1908
42101034802,Census Tract 348.02,Philadelphia County,,2052
42101034900,Census Tract 349,Philadelphia County,,2014
42101035100,Census Tract 351,Philadelphia County,,1618
42101035200,Census Tract 352,Philadelphia County,,2390
42101035500,Census Tract 355,Philadelphia County,,2045
42101035800,Census Tract 358,Philadelphia County,,2196
42101035900,Census Tract 359,Philadelphia County,,2152
42101007102,Census Tract 71.02,Philadelphia County,,2622
42101008101,Census Tract 81.01,Philadelphia County,,2711
42101008102,Census Tract 81.02,Philadelphia County,,2679
42101008701,Census Tract 87.01,Philadelphia County,,1709
42101008702,Census Tract 87.02,Philadelphia County,,1246
42101980100,Census Tract 9801,Philadelphia County,,3552
