Geography ID, Name,County,Tribal Areas,Housing Counts
42101017800,Census Tract 178,Philadelphia County,,1953
42101017900,Census Tract 179,Philadelphia County,,2110
42101000100,Census Tract 1,Philadelphia County,,2440
42101024400,Census Tract 244,Philadelphia County,,1037
42101025500,Census Tract 255,Philadelphia County,,1157
42101025600,Census Tract 256,Philadelphia County,,1113
42101025700,Census Tract 257,Philadelphia County,,1909
42101025800,Census Tract 258,Philadelphia County,,729
42101025900,Census Tract 259,Philadelphia County,,1962
42101026301,Census Tract 263.01,Philadelphia County,,1511
42101029200,Census Tract 292,Philadelphia County,,1357
42101000200,Census Tract 2,Philadelphia County,,1065
42101033200,Census Tract 332,Philadelphia County,,997
42101035601,Census Tract 356.01,Philadelphia County,,2302
42101036900,Census Tract 369,Philadelphia County,,678
42101037200,Census Tract 372,Philadelphia County,,1777
42101037300,Census Tract 373,Philadelphia County,,2523
42101038400,Census Tract 384,Philadelphia County,,983
42101038500,Census Tract 385,Philadelphia County,,884
42101038600,Census Tract 386,Philadelphia County,,597
42101000300,Census Tract 3,Philadelphia County,,1811
42101000402,Census Tract 4.02,Philadelphia County,,2819
42101015200,Census Tract 152,Philadelphia County,,1776
42101008801,Census Tract 88.01,Philadelphia County,,220
42101018300,Census Tract 183,Philadelphia County,,1561
42101018400,Census Tract 184,Philadelphia County,,834
42101019000,Census Tract 190,Philadelphia County,,2613
42101019100,Census Tract 191,Philadelphia County,,2753
42101019200,Census Tract 192,Philadelphia County,,2234
42101019700,Census Tract 197,Philadelphia County,,2175
42101019800,Census Tract 198,Philadelphia County,,1945
42101019900,Census Tract 199,Philadelphia County,,1359
42101020000,Census Tract 200,Philadelphia County,,536
42101020200,Census Tract 202,Philadelphia County,,1934
42101020300,Census Tract 203,Philadelphia County,,1018
42101020400,Census Tract 204,Philadelphia County,,1101
42101020500,Census Tract 205,Philadelphia County,,1364
42101020600,Census Tract 206,Philadelphia County,,724
42101020700,Census Tract 207,Philadelphia County,,2359
42101020800,Census Tract 208,Philadelphia County,,1092
42101037900,Census Tract 379,Philadelphia County,,2122
42101038000,Census Tract 380,Philadelphia County,,791
42101038100,Census Tract 381,Philadelphia County,,307
42101038200,Census Tract 382,Philadelphia County,,915
42101038300,Census Tract 383,Philadelphia County,,949
42101038700,Census Tract 387,Philadelphia County,,666
42101038800,Census Tract 388,Philadelphia County,,1650
42101038900,Census Tract 389,Philadelphia County,,1283
42101039000,Census Tract 390,Philadelphia County,,2702
42101980200,Census Tract 9802,Philadelphia County,,60
42101013300,Census Tract 133,Philadelphia County,,1484
42101014700,Census Tract 147,Philadelphia County,,937
42101014800,Census Tract 148,Philadelphia County,,398
42101014900,Census Tract 149,Philadelphia County,,1525
42101015600,Census Tract 156,Philadelphia County,,536
42101015700,Census Tract 157,Philadelphia County,,963
42101015800,Census Tract 158,Philadelphia County,,2900
42101016000,Census Tract 160,Philadelphia County,,2880
42101016100,Census Tract 161,Philadelphia County,,2103
42101016200,Census Tract 162,Philadelphia County,,841
42101016300,Census Tract 163,Philadelphia County,,1116
42101016400,Census Tract 164,Philadelphia County,,1575
42101016500,Census Tract 165,Philadelphia County,,1030
42101016600,Census Tract 166,Philadelphia County,,609
42101016702,Census Tract 167.02,Philadelphia County,,1114
42101016800,Census Tract 168,Philadelphia County,,1517
42101016901,Census Tract 169.01,Philadelphia County,,1260
42101017000,Census Tract 170,Philadelphia County,,1286
42101017100,Census Tract 171,Philadelphia County,,1533
42101017202,Census Tract 172.02,Philadelphia County,,1592
42101017300,Census Tract 173,Philadelphia County,,1161
42101017400,Census Tract 174,Philadelphia County,,888
42101017500,Census Tract 175,Philadelphia County,,2371
42101017601,Census Tract 176.01,Philadelphia County,,1812
42101020101,Census Tract 201.01,Philadelphia County,,1589
42101020900,Census Tract 209,Philadelphia County,,1325
42101021000,Census Tract 210,Philadelphia County,,2168
42101021100,Census Tract 211,Philadelphia County,,1149
42101021200,Census Tract 212,Philadelphia County,,1074
42101021300,Census Tract 213,Philadelphia County,,1439
42101021400,Census Tract 214,Philadelphia County,,1596
42101021500,Census Tract 215,Philadelphia County,,1713
42101021600,Census Tract 216,Philadelphia County,,1035
42101021700,Census Tract 217,Philadelphia County,,2524
42101021900,Census Tract 219,Philadelphia County,,675
42101022000,Census Tract 220,Philadelphia County,,663
42101023100,Census Tract 231,Philadelphia County,,519
42101023500,Census Tract 235,Philadelphia County,,562
42101023600,Census Tract 236,Philadelphia County,,1035
42101023700,Census Tract 237,Philadelphia County,,2113
42101023900,Census Tract 239,Philadelphia County,,1003
42101024000,Census Tract 240,Philadelphia County,,1513
42101024100,Census Tract 241,Philadelphia County,,659
42101024200,Census Tract 242,Philadelphia County,,1685
42101024300,Census Tract 243,Philadelphia County,,1453
42101024500,Census Tract 245,Philadelphia County,,1525
42101024600,Census Tract 246,Philadelphia County,,1069
42101024700,Census Tract 247,Philadelphia County,,1574
42101024900,Census Tract 249,Philadelphia County,,1136
42101025200,Census Tract 252,Philadelphia County,,2572
42101025400,Census Tract 254,Philadelphia County,,1971
42101026100,Census Tract 261,Philadelphia County,,1357
42101026200,Census Tract 262,Philadelphia County,,1709
42101026302,Census Tract 263.02,Philadelphia County,,1917
42101026400,Census Tract 264,Philadelphia County,,2202
42101026500,Census Tract 265,Philadelphia County,,1621
42101027401,Census Tract 274.01,Philadelphia County,,1108
42101028901,Census Tract 289.01,Philadelphia County,,1293
42101029100,Census Tract 291,Philadelphia County,,1543
42101030000,Census Tract 300,Philadelphia County,,2371
42101030501,Census Tract 305.01,Philadelphia County,,1824
42101033600,Census Tract 336,Philadelphia County,,2722
42101004202,Census Tract 42.02,Philadelphia County,,1752
42101007000,Census Tract 70,Philadelphia County,,1512
42101008802,Census Tract 88.02,Philadelphia County,,1354
42101009100,Census Tract 91,Philadelphia County,,1589
42101014400,Census Tract 144,Philadelphia County,,1627
42101016701,Census Tract 167.01,Philadelphia County,,1083
42101002701,Census Tract 27.01,Philadelphia County,,1421
42101027901,Census Tract 279.01,Philadelphia County,,1396
42101027902,Census Tract 279.02,Philadelphia County,,881
42101002802,Census Tract 28.02,Philadelphia County,,2222
42101003001,Census Tract 30.01,Philadelphia County,,1514
42101031402,Census Tract 314.02,Philadelphia County,,1808
42101036600,Census Tract 366,Philadelphia County,,1270
42101034702,Census Tract 347.02,Philadelphia County,,1417
42101034801,Census Tract 348.01,Philadelphia County,,1956
42101034802,Census Tract 348.02,Philadelphia County,,2080
42101034900,Census Tract 349,Philadelphia County,,2223
42101035100,Census Tract 351,Philadelphia County,,2393
42101035200,Census Tract 352,Philadelphia County,,1634
42101035500,Census Tract 355,Philadelphia County,,2897
42101035800,Census Tract 358,Philadelphia County,,2248
42101035900,Census Tract 359,Philadelphia County,,2190
42101007102,Census Tract 71.02,Philadelphia County,,1796
42101008101,Census Tract 81.01,Philadelphia County,,1021
42101008102,Census Tract 81.02,Philadelphia County,,1885
42101008701,Census Tract 87.01,Philadelphia County,,1800
42101008702,Census Tract 87.02,Philadelphia County,,1257
42101980100,Census Tract 9801,Philadelphia County,,8
